ingredient_class_count,ingredient_class_diversity,largest_ingredient_class_share,inggrp_meat_poultry_count,inggrp_seafood_count,inggrp_dairy_count,inggrp_eggs_count,inggrp_vegetables_count,inggrp_fruit_count,inggrp_grains_starches_count,inggrp_legumes_soy_count,inggrp_nuts_seeds_count,inggrp_herbs_spices_seasonings_count,inggrp_oils_fats_count,inggrp_sweeteners_chocolate_count,inggrp_sauces_condiments_count,inggrp_baking_additives_count,inggrp_beverages_alcohol_broth_count,prep_minutes,cook_minutes,total_minutes,log_prep_minutes,log_cook_minutes,log_total_minutes,description_word_count,title_word_count,direction_step_count,category_count,cuisine_count,ingredients_per_step,steps_per_ingredient,total_minutes_per_ingredient,description_words_per_step,publication_year,publication_month,carbs,fat,protein,log_calories,log_carbs,protein_per_calorie,fat_per_calorie,carbs_per_calorie,calories_per_ingredient,rating_count,log_rating_count,inggrp_meat_poultry_present,inggrp_seafood_present,inggrp_dairy_present,inggrp_eggs_present,inggrp_vegetables_present,inggrp_fruit_present,inggrp_grains_starches_present,inggrp_legumes_soy_present,inggrp_nuts_seeds_present,inggrp_herbs_spices_seasonings_present,inggrp_oils_fats_present,inggrp_sweeteners_chocolate_present,inggrp_sauces_condiments_present,inggrp_baking_additives_present,inggrp_beverages_alcohol_broth_present,ing_all_purpose_flour,ing_baking_powder,ing_baking_soda,ing_beef,ing_black_pepper,ing_brown_sugar,ing_butter,ing_carrot,ing_cayenne_pepper,ing_celery,ing_cheddar_cheese,ing_chicken_broth,ing_chili_powder,ing_cilantro,ing_cinnamon,ing_clove,ing_confectioners_sugar,ing_cooking_spray,ing_cornstarch,ing_cumin,ing_dried_oregano,ing_egg,ing_freshly_black_pepper,ing_garlic,ing_garlic_powder,ing_ginger,ing_green_bell_pepper,ing_green_onion,ing_heavy_cream,ing_honey,ing_kosher_salt,ing_large_egg,ing_lemon_juice,ing_mayonnaise,ing_milk,ing_mozzarella_cheese,ing_nutmeg,ing_olive_oil,ing_onion,ing_onion_powder,ing_packed_brown_sugar,ing_paprika,ing_parmesan_cheese,ing_parsley,ing_pecan,ing_red_bell_pepper,ing_red_pepper_flake,ing_salt,ing_salt_and_black_pepper,ing_salt_and_freshly_black_pepper,ing_salt_and_pepper,ing_sour_cream,ing_soy_sauce,ing_unsalted_butter,ing_vanilla_extract,ing_vegetable_oil,ing_walnut,ing_water,ing_white_sugar,ing_worcestershire_sauce,src_diwali,src_apple_pie,src_butternut_squash_soups,src_cheese_balls,src_fettuccini,src_allrecipes_allstar_recipes,src_beef_stews,src_fajitas,src_omelets,src_canning_and_preserving,src_chicken_noodle_soups,src_chicken_teriyaki,src_chinese,src_chocolate_chip_cookies,src_deviled_eggs
4,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,240.0,260.0,3.044522437723423,5.484796933490655,5.564520407322694,29,4,3,1,2,2.0,0.5,43.333333333333336,9.666666666666666,2018,6,2.0,26.0,19.0,5.793013608384144,1.0986122886681098,0.0581039755351682,0.07951070336391437,0.0061162079510703364,54.5,45.0,3.828641396489095,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.6363636363636364,0.2727272727272727,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,20.0,10.0,30.0,3.044522437723423,2.3978952727983707,3.4339872044851463,34,5,3,1,1,3.6666666666666665,0.2727272727272727,2.727272727272727,11.333333333333334,2019,4,11.0,22.0,5.0,5.545177444479562,2.4849066497880004,0.0196078431372549,0.08627450980392157,0.043137254901960784,23.181818181818183,245.0,5.5053315359323625,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.7,0.3,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,15.0,10.0,40.0,2.772588722239781,2.3978952727983707,3.713572066704308,25,7,9,1,1,1.1111111111111112,0.9,4.0,2.7777777777777777,2008,8,13.0,6.0,1.0,4.6913478822291435,2.6390573296152584,0.009259259259259259,0.05555555555555555,0.12037037037037036,10.8,596.0,6.391917113392602,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,0.8,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,,5.0,1.791759469228055,,1.791759469228055,24,3,3,1,1,1.6666666666666667,0.6,1.0,8.0,2020,3,6.0,0.0,0.0,3.2188758248682006,1.9459101490553132,0.0,0.0,0.25,4.8,107.0,4.68213122712422,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.6666666666666666,0.5,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,150.0,2.772588722239781,2.772588722239781,5.017279836814924,24,4,2,1,1,3.0,0.3333333333333333,25.0,12.0,2018,8,20.0,18.0,3.0,5.5053315359323625,3.044522437723423,0.012244897959183673,0.07346938775510205,0.08163265306122448,40.833333333333336,108.0,4.6913478822291435,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.75,0.5,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,6.0,15.0,40.0,55.0,2.772588722239781,3.713572066704308,4.02535169073515,32,3,4,2,1,3.0,0.3333333333333333,4.583333333333333,8.0,2023,7,45.0,10.0,3.0,5.616771097666572,3.828641396489095,0.010948905109489052,0.0364963503649635,0.16423357664233576,22.833333333333332,17.0,2.8903717578961645,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.6666666666666666,0.5555555555555556,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,20.0,40.0,60.0,3.044522437723423,3.713572066704308,4.110873864173311,23,4,5,1,1,1.8,0.5555555555555556,6.666666666666667,4.6,2000,10,40.0,17.0,27.0,6.028278520230698,3.713572066704308,0.06521739130434782,0.04106280193236715,0.0966183574879227,46.0,154.0,5.043425116919247,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.4666666666666667,0.4,2.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,30.0,120.0,150.0,3.4339872044851463,4.795790545596741,5.017279836814924,22,2,10,1,1,1.5,0.6666666666666666,10.0,2.2,2000,7,60.0,16.0,18.0,6.091309882077698,4.110873864173311,0.04081632653061224,0.036281179138321996,0.1360544217687075,29.4,191.0,5.2574953720277815,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,30.0,10.0,45.0,3.4339872044851463,2.3978952727983707,3.828641396489095,12,5,3,1,0,2.0,0.5,7.5,4.0,2000,3,14.0,8.0,4.0,4.890349128221754,2.70805020110221,0.030303030303030304,0.06060606060606061,0.10606060606060606,22.0,1165.0,7.061334366910438,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.6,0.4,2.0,0.0,4.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,2.3978952727983707,3.044522437723423,3.4339872044851463,24,5,6,1,1,1.6666666666666667,0.6,3.0,4.0,2019,4,68.0,30.0,28.0,6.486160788944089,4.23410650459726,0.042748091603053436,0.04580152671755725,0.10381679389312977,65.5,336.0,5.820082930352362,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
